SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,100052,OPTSTK,0,HINDZINC-Oct2026-710-CE,1225.0,HINDZINC 27 OCT 710 CALL,2026-10-27 14:30:00,710.0,CE,5.0,M,OP,,
NSE,D,100053,OPTSTK,0,HINDZINC-Oct2026-710-PE,1225.0,HINDZINC 27 OCT 710 PUT,2026-10-27 14:30:00,710.0,PE,5.0,M,OP,,
NSE,D,100056,OPTSTK,0,DIVISLAB-Sep2026-6000-CE,100.0,DIVISLAB 29 SEP 6000 CALL,2026-09-29 14:30:00,6000.0,CE,5.0,M,OP,,
NSE,D,100057,OPTSTK,0,DIVISLAB-Sep2026-6000-PE,100.0,DIVISLAB 29 SEP 6000 PUT,2026-09-29 14:30:00,6000.0,PE,5.0,M,OP,,
NSE,D,100058,OPTSTK,0,DIVISLAB-Sep2026-6200-CE,100.0,DIVISLAB 29 SEP 6200 CALL,2026-09-29 14:30:00,6200.0,CE,5.0,M,OP,,
NSE,D,100059,OPTSTK,0,DIVISLAB-Sep2026-6200-PE,100.0,DIVISLAB 29 SEP 6200 PUT,2026-09-29 14:30:00,6200.0,PE,5.0,M,OP,,
NSE,D,100060,OPTSTK,0,DIVISLAB-Sep2026-6400-CE,100.0,DIVISLAB 29 SEP 6400 CALL,2026-09-29 14:30:00,6400.0,CE,5.0,M,OP,,
NSE,D,100061,OPTSTK,0,DIVISLAB-Sep2026-6400-PE,100.0,DIVISLAB 29 SEP 6400 PUT,2026-09-29 14:30:00,6400.0,PE,5.0,M,OP,,
NSE,D,100062,OPTSTK,0,DIVISLAB-Sep2026-6600-CE,100.0,DIVISLAB 29 SEP 6600 CALL,2026-09-29 14:30:00,6600.0,CE,5.0,M,OP,,
NSE,D,100063,OPTSTK,0,DIVISLAB-Sep2026-6600-PE,100.0,DIVISLAB 29 SEP 6600 PUT,2026-09-29 14:30:00,6600.0,PE,5.0,M,OP,,
NSE,D,100064,OPTSTK,0,DIVISLAB-Sep2026-6800-CE,100.0,DIVISLAB 29 SEP 6800 CALL,2026-09-29 14:30:00,6800.0,CE,5.0,M,OP,,
NSE,D,100065,OPTSTK,0,DIVISLAB-Sep2026-6800-PE,100.0,DIVISLAB 29 SEP 6800 PUT,2026-09-29 14:30:00,6800.0,PE,5.0,M,OP,,
NSE,D,100066,OPTSTK,0,DIVISLAB-Sep2026-7000-CE,100.0,DIVISLAB 29 SEP 7000 CALL,2026-09-29 14:30:00,7000.0,CE,5.0,M,OP,,
NSE,D,100067,OPTSTK,0,DIVISLAB-Sep2026-7000-PE,100.0,DIVISLAB 29 SEP 7000 PUT,2026-09-29 14:30:00,7000.0,PE,5.0,M,OP,,
NSE,D,100068,OPTSTK,0,DIVISLAB-Sep2026-7200-CE,100.0,DIVISLAB 29 SEP 7200 CALL,2026-09-29 14:30:00,7200.0,CE,5.0,M,OP,,
NSE,D,100069,OPTSTK,0,DIVISLAB-Sep2026-7200-PE,100.0,DIVISLAB 29 SEP 7200 PUT,2026-09-29 14:30:00,7200.0,PE,5.0,M,OP,,
NSE,D,100070,OPTSTK,0,DIVISLAB-Sep2026-7400-CE,100.0,DIVISLAB 29 SEP 7400 CALL,2026-09-29 14:30:00,7400.0,CE,5.0,M,OP,,
NSE,D,100071,OPTSTK,0,DIVISLAB-Sep2026-7400-PE,100.0,DIVISLAB 29 SEP 7400 PUT,2026-09-29 14:30:00,7400.0,PE,5.0,M,OP,,
NSE,D,100072,OPTSTK,0,DIVISLAB-Sep2026-7600-CE,100.0,DIVISLAB 29 SEP 7600 CALL,2026-09-29 14:30:00,7600.0,CE,5.0,M,OP,,
NSE,D,100073,OPTSTK,0,DIVISLAB-Sep2026-7600-PE,100.0,DIVISLAB 29 SEP 7600 PUT,2026-09-29 14:30:00,7600.0,PE,5.0,M,OP,,
NSE,D,100074,OPTSTK,0,DIVISLAB-Sep2026-7800-CE,100.0,DIVISLAB 29 SEP 7800 CALL,2026-09-29 14:30:00,7800.0,CE,5.0,M,OP,,
NSE,D,100075,OPTSTK,0,DIVISLAB-Sep2026-7800-PE,100.0,DIVISLAB 29 SEP 7800 PUT,2026-09-29 14:30:00,7800.0,PE,5.0,M,OP,,
NSE,D,100076,OPTSTK,0,DIVISLAB-Sep2026-8000-CE,100.0,DIVISLAB 29 SEP 8000 CALL,2026-09-29 14:30:00,8000.0,CE,5.0,M,OP,,
NSE,D,100077,OPTSTK,0,DIVISLAB-Sep2026-8000-PE,100.0,DIVISLAB 29 SEP 8000 PUT,2026-09-29 14:30:00,8000.0,PE,5.0,M,OP,,
NSE,D,100078,OPTSTK,0,DIVISLAB-Sep2026-8200-CE,100.0,DIVISLAB 29 SEP 8200 CALL,2026-09-29 14:30:00,8200.0,CE,5.0,M,OP,,
NSE,D,100079,OPTSTK,0,DIVISLAB-Sep2026-8200-PE,100.0,DIVISLAB 29 SEP 8200 PUT,2026-09-29 14:30:00,8200.0,PE,5.0,M,OP,,
NSE,D,100080,OPTSTK,0,DIVISLAB-Sep2026-8400-CE,100.0,DIVISLAB 29 SEP 8400 CALL,2026-09-29 14:30:00,8400.0,CE,5.0,M,OP,,
NSE,D,100081,OPTSTK,0,DIVISLAB-Sep2026-8400-PE,100.0,DIVISLAB 29 SEP 8400 PUT,2026-09-29 14:30:00,8400.0,PE,5.0,M,OP,,
NSE,D,100082,OPTSTK,0,DIVISLAB-Sep2026-8800-CE,100.0,DIVISLAB 29 SEP 8800 CALL,2026-09-29 14:30:00,8800.0,CE,5.0,M,OP,,
NSE,D,100083,OPTSTK,0,DIVISLAB-Sep2026-8800-PE,100.0,DIVISLAB 29 SEP 8800 PUT,2026-09-29 14:30:00,8800.0,PE,5.0,M,OP,,
NSE,D,100084,OPTSTK,0,HINDZINC-Oct2026-730-CE,1225.0,HINDZINC 27 OCT 730 CALL,2026-10-27 14:30:00,730.0,CE,5.0,M,OP,,
NSE,D,100085,OPTSTK,0,HINDZINC-Oct2026-730-PE,1225.0,HINDZINC 27 OCT 730 PUT,2026-10-27 14:30:00,730.0,PE,5.0,M,OP,,
NSE,D,100086,OPTSTK,0,HINDZINC-Oct2026-750-CE,1225.0,HINDZINC 27 OCT 750 CALL,2026-10-27 14:30:00,750.0,CE,5.0,M,OP,,
NSE,D,100087,OPTSTK,0,HINDZINC-Oct2026-750-PE,1225.0,HINDZINC 27 OCT 750 PUT,2026-10-27 14:30:00,750.0,PE,5.0,M,OP,,
NSE,D,100088,OPTSTK,0,HINDZINC-Oct2026-770-CE,1225.0,HINDZINC 27 OCT 770 CALL,2026-10-27 14:30:00,770.0,CE,5.0,M,OP,,
NSE,D,100089,OPTSTK,0,HINDZINC-Oct2026-770-PE,1225.0,HINDZINC 27 OCT 770 PUT,2026-10-27 14:30:00,770.0,PE,5.0,M,OP,,
NSE,D,100090,OPTSTK,0,HINDZINC-Oct2026-820-CE,1225.0,HINDZINC 27 OCT 820 CALL,2026-10-27 14:30:00,820.0,CE,5.0,M,OP,,
NSE,D,100091,OPTSTK,0,HINDZINC-Oct2026-820-PE,1225.0,HINDZINC 27 OCT 820 PUT,2026-10-27 14:30:00,820.0,PE,5.0,M,OP,,
NSE,D,100094,OPTSTK,0,HINDZINC-Nov2026-400-CE,1225.0,HINDZINC 23 NOV 400 CALL,2026-11-23 14:30:00,400.0,CE,5.0,M,OP,,
NSE,D,100095,OPTSTK,0,HINDZINC-Nov2026-400-PE,1225.0,HINDZINC 23 NOV 400 PUT,2026-11-23 14:30:00,400.0,PE,5.0,M,OP,,
NSE,D,100098,OPTSTK,0,HINDZINC-Nov2026-440-CE,1225.0,HINDZINC 23 NOV 440 CALL,2026-11-23 14:30:00,440.0,CE,5.0,M,OP,,
NSE,D,100099,OPTSTK,0,HINDZINC-Nov2026-440-PE,1225.0,HINDZINC 23 NOV 440 PUT,2026-11-23 14:30:00,440.0,PE,5.0,M,OP,,
NSE,D,100100,OPTSTK,0,HINDZINC-Nov2026-460-CE,1225.0,HINDZINC 23 NOV 460 CALL,2026-11-23 14:30:00,460.0,CE,5.0,M,OP,,
NSE,D,100101,OPTSTK,0,PAGEIND-Oct2026-52000-CE,20.0,PAGEIND 27 OCT 52000 CALL,2026-10-27 14:30:00,52000.0,CE,5.0,M,OP,,
NSE,D,100102,OPTSTK,0,PAGEIND-Oct2026-52000-PE,20.0,PAGEIND 27 OCT 52000 PUT,2026-10-27 14:30:00,52000.0,PE,5.0,M,OP,,
NSE,D,100109,OPTSTK,0,HINDZINC-Nov2026-460-PE,1225.0,HINDZINC 23 NOV 460 PUT,2026-11-23 14:30:00,460.0,PE,5.0,M,OP,,
NSE,D,100110,OPTSTK,0,HINDZINC-Nov2026-480-CE,1225.0,HINDZINC 23 NOV 480 CALL,2026-11-23 14:30:00,480.0,CE,5.0,M,OP,,
NSE,D,100111,OPTSTK,0,PATANJALI-Sep2026-190-CE,1075.0,PATANJALI 29 SEP 190 CALL,2026-09-29 14:30:00,190.0,CE,5.0,M,OP,,
NSE,D,100112,OPTSTK,0,PATANJALI-Sep2026-190-PE,1075.0,PATANJALI 29 SEP 190 PUT,2026-09-29 14:30:00,190.0,PE,5.0,M,OP,,
NSE,D,100113,OPTSTK,0,PATANJALI-Sep2026-210-CE,1075.0,PATANJALI 29 SEP 210 CALL,2026-09-29 14:30:00,210.0,CE,5.0,M,OP,,
NSE,D,100114,OPTSTK,0,PATANJALI-Sep2026-210-PE,1075.0,PATANJALI 29 SEP 210 PUT,2026-09-29 14:30:00,210.0,PE,5.0,M,OP,,
NSE,D,100115,OPTSTK,0,HINDZINC-Nov2026-480-PE,1225.0,HINDZINC 23 NOV 480 PUT,2026-11-23 14:30:00,480.0,PE,5.0,M,OP,,
NSE,D,100116,OPTSTK,0,HINDZINC-Nov2026-500-CE,1225.0,HINDZINC 23 NOV 500 CALL,2026-11-23 14:30:00,500.0,CE,5.0,M,OP,,
NSE,D,100117,OPTSTK,0,PATANJALI-Sep2026-225-CE,1075.0,PATANJALI 29 SEP 225 CALL,2026-09-29 14:30:00,225.0,CE,5.0,M,OP,,
NSE,D,100118,OPTSTK,0,PATANJALI-Sep2026-225-PE,1075.0,PATANJALI 29 SEP 225 PUT,2026-09-29 14:30:00,225.0,PE,5.0,M,OP,,
NSE,D,100119,OPTSTK,0,PATANJALI-Sep2026-235-CE,1075.0,PATANJALI 29 SEP 235 CALL,2026-09-29 14:30:00,235.0,CE,5.0,M,OP,,
NSE,D,100120,OPTSTK,0,PATANJALI-Sep2026-235-PE,1075.0,PATANJALI 29 SEP 235 PUT,2026-09-29 14:30:00,235.0,PE,5.0,M,OP,,
NSE,D,100121,OPTSTK,0,PATANJALI-Sep2026-245-CE,1075.0,PATANJALI 29 SEP 245 CALL,2026-09-29 14:30:00,245.0,CE,5.0,M,OP,,
NSE,D,100122,OPTSTK,0,PATANJALI-Sep2026-245-PE,1075.0,PATANJALI 29 SEP 245 PUT,2026-09-29 14:30:00,245.0,PE,5.0,M,OP,,
NSE,D,100123,OPTSTK,0,PATANJALI-Sep2026-255-CE,1075.0,PATANJALI 29 SEP 255 CALL,2026-09-29 14:30:00,255.0,CE,5.0,M,OP,,
NSE,D,100124,OPTSTK,0,PATANJALI-Sep2026-255-PE,1075.0,PATANJALI 29 SEP 255 PUT,2026-09-29 14:30:00,255.0,PE,5.0,M,OP,,
NSE,D,100125,OPTSTK,0,PATANJALI-Sep2026-265-CE,1075.0,PATANJALI 29 SEP 265 CALL,2026-09-29 14:30:00,265.0,CE,5.0,M,OP,,
NSE,D,100126,OPTSTK,0,PATANJALI-Sep2026-265-PE,1075.0,PATANJALI 29 SEP 265 PUT,2026-09-29 14:30:00,265.0,PE,5.0,M,OP,,
NSE,D,100127,OPTSTK,0,PATANJALI-Sep2026-275-CE,1075.0,PATANJALI 29 SEP 275 CALL,2026-09-29 14:30:00,275.0,CE,5.0,M,OP,,
NSE,D,100128,OPTSTK,0,PATANJALI-Sep2026-275-PE,1075.0,PATANJALI 29 SEP 275 PUT,2026-09-29 14:30:00,275.0,PE,5.0,M,OP,,
NSE,D,100129,OPTSTK,0,PATANJALI-Sep2026-285-CE,1075.0,PATANJALI 29 SEP 285 CALL,2026-09-29 14:30:00,285.0,CE,5.0,M,OP,,
NSE,D,100130,OPTSTK,0,PATANJALI-Sep2026-285-PE,1075.0,PATANJALI 29 SEP 285 PUT,2026-09-29 14:30:00,285.0,PE,5.0,M,OP,,
NSE,D,100131,OPTSTK,0,PATANJALI-Sep2026-295-CE,1075.0,PATANJALI 29 SEP 295 CALL,2026-09-29 14:30:00,295.0,CE,5.0,M,OP,,
NSE,D,100132,OPTSTK,0,PATANJALI-Sep2026-295-PE,1075.0,PATANJALI 29 SEP 295 PUT,2026-09-29 14:30:00,295.0,PE,5.0,M,OP,,
NSE,D,100133,OPTSTK,0,PATANJALI-Sep2026-305-CE,1075.0,PATANJALI 29 SEP 305 CALL,2026-09-29 14:30:00,305.0,CE,5.0,M,OP,,
NSE,D,100134,OPTSTK,0,HINDZINC-Nov2026-500-PE,1225.0,HINDZINC 23 NOV 500 PUT,2026-11-23 14:30:00,500.0,PE,5.0,M,OP,,
NSE,D,100135,OPTSTK,0,HINDZINC-Nov2026-520-CE,1225.0,HINDZINC 23 NOV 520 CALL,2026-11-23 14:30:00,520.0,CE,5.0,M,OP,,
NSE,D,100136,OPTSTK,0,HINDZINC-Nov2026-520-PE,1225.0,HINDZINC 23 NOV 520 PUT,2026-11-23 14:30:00,520.0,PE,5.0,M,OP,,
NSE,D,100137,OPTSTK,0,HINDZINC-Nov2026-540-CE,1225.0,HINDZINC 23 NOV 540 CALL,2026-11-23 14:30:00,540.0,CE,5.0,M,OP,,
NSE,D,100138,OPTSTK,0,HINDZINC-Nov2026-540-PE,1225.0,HINDZINC 23 NOV 540 PUT,2026-11-23 14:30:00,540.0,PE,5.0,M,OP,,
NSE,D,100139,OPTSTK,0,HINDZINC-Nov2026-560-CE,1225.0,HINDZINC 23 NOV 560 CALL,2026-11-23 14:30:00,560.0,CE,5.0,M,OP,,
NSE,D,100140,OPTSTK,0,HINDZINC-Nov2026-560-PE,1225.0,HINDZINC 23 NOV 560 PUT,2026-11-23 14:30:00,560.0,PE,5.0,M,OP,,
NSE,D,100141,OPTSTK,0,HINDZINC-Nov2026-580-CE,1225.0,HINDZINC 23 NOV 580 CALL,2026-11-23 14:30:00,580.0,CE,5.0,M,OP,,
NSE,D,100142,OPTSTK,0,HINDZINC-Nov2026-580-PE,1225.0,HINDZINC 23 NOV 580 PUT,2026-11-23 14:30:00,580.0,PE,5.0,M,OP,,
NSE,D,100143,OPTSTK,0,HINDZINC-Nov2026-600-CE,1225.0,HINDZINC 23 NOV 600 CALL,2026-11-23 14:30:00,600.0,CE,5.0,M,OP,,
NSE,D,100144,OPTSTK,0,HINDZINC-Nov2026-600-PE,1225.0,HINDZINC 23 NOV 600 PUT,2026-11-23 14:30:00,600.0,PE,5.0,M,OP,,
NSE,D,100145,OPTSTK,0,HINDZINC-Nov2026-620-CE,1225.0,HINDZINC 23 NOV 620 CALL,2026-11-23 14:30:00,620.0,CE,5.0,M,OP,,
NSE,D,100146,OPTSTK,0,PATANJALI-Sep2026-305-PE,1075.0,PATANJALI 29 SEP 305 PUT,2026-09-29 14:30:00,305.0,PE,5.0,M,OP,,
NSE,D,100147,OPTSTK,0,HINDZINC-Nov2026-620-PE,1225.0,HINDZINC 23 NOV 620 PUT,2026-11-23 14:30:00,620.0,PE,5.0,M,OP,,
NSE,D,100148,OPTSTK,0,PATANJALI-Sep2026-315-CE,1075.0,PATANJALI 29 SEP 315 CALL,2026-09-29 14:30:00,315.0,CE,5.0,M,OP,,
NSE,D,100149,OPTSTK,0,PATANJALI-Sep2026-315-PE,1075.0,PATANJALI 29 SEP 315 PUT,2026-09-29 14:30:00,315.0,PE,5.0,M,OP,,
NSE,D,100150,OPTSTK,0,PATANJALI-Sep2026-325-CE,1075.0,PATANJALI 29 SEP 325 CALL,2026-09-29 14:30:00,325.0,CE,5.0,M,OP,,
NSE,D,100151,OPTSTK,0,HINDZINC-Nov2026-640-CE,1225.0,HINDZINC 23 NOV 640 CALL,2026-11-23 14:30:00,640.0,CE,5.0,M,OP,,
NSE,D,100152,OPTSTK,0,HINDZINC-Nov2026-640-PE,1225.0,HINDZINC 23 NOV 640 PUT,2026-11-23 14:30:00,640.0,PE,5.0,M,OP,,
NSE,D,100153,OPTSTK,0,PATANJALI-Sep2026-325-PE,1075.0,PATANJALI 29 SEP 325 PUT,2026-09-29 14:30:00,325.0,PE,5.0,M,OP,,
NSE,D,100154,OPTSTK,0,PATANJALI-Sep2026-335-CE,1075.0,PATANJALI 29 SEP 335 CALL,2026-09-29 14:30:00,335.0,CE,5.0,M,OP,,
NSE,D,100155,OPTSTK,0,HINDZINC-Nov2026-660-CE,1225.0,HINDZINC 23 NOV 660 CALL,2026-11-23 14:30:00,660.0,CE,5.0,M,OP,,
NSE,D,100156,OPTSTK,0,HINDZINC-Nov2026-660-PE,1225.0,HINDZINC 23 NOV 660 PUT,2026-11-23 14:30:00,660.0,PE,5.0,M,OP,,
NSE,D,100157,OPTSTK,0,PATANJALI-Sep2026-335-PE,1075.0,PATANJALI 29 SEP 335 PUT,2026-09-29 14:30:00,335.0,PE,5.0,M,OP,,
NSE,D,100158,OPTSTK,0,HINDZINC-Nov2026-680-CE,1225.0,HINDZINC 23 NOV 680 CALL,2026-11-23 14:30:00,680.0,CE,5.0,M,OP,,
NSE,D,100159,OPTSTK,0,HINDZINC-Nov2026-680-PE,1225.0,HINDZINC 23 NOV 680 PUT,2026-11-23 14:30:00,680.0,PE,5.0,M,OP,,
NSE,D,100160,OPTSTK,0,HINDZINC-Nov2026-700-CE,1225.0,HINDZINC 23 NOV 700 CALL,2026-11-23 14:30:00,700.0,CE,5.0,M,OP,,
NSE,D,100161,OPTSTK,0,HINDZINC-Nov2026-700-PE,1225.0,HINDZINC 23 NOV 700 PUT,2026-11-23 14:30:00,700.0,PE,5.0,M,OP,,
NSE,D,100162,OPTSTK,0,HINDZINC-Nov2026-720-CE,1225.0,HINDZINC 23 NOV 720 CALL,2026-11-23 14:30:00,720.0,CE,5.0,M,OP,,
NSE,D,100163,OPTSTK,0,HINDZINC-Nov2026-720-PE,1225.0,HINDZINC 23 NOV 720 PUT,2026-11-23 14:30:00,720.0,PE,5.0,M,OP,,
NSE,D,100164,OPTSTK,0,HINDZINC-Nov2026-740-CE,1225.0,HINDZINC 23 NOV 740 CALL,2026-11-23 14:30:00,740.0,CE,5.0,M,OP,,
NSE,D,100165,OPTSTK,0,HINDZINC-Nov2026-740-PE,1225.0,HINDZINC 23 NOV 740 PUT,2026-11-23 14:30:00,740.0,PE,5.0,M,OP,,
